concise enumeration
proved to
instructions clearly
gripped in
freedom possible
steam have
false guide
and consecrated
separated by
comprehensive enough
plays an
cut off
mighty question
led to
proclamation was
to external
still animates
equitable compromise
were thus
imbibed by
spend more
may occasionally
resist all
preserve calm
been abused
needs of
usually linked
great anxiety
public moneys
heard the
trust i
their eyes
there came
corrupting influence
greater elasticity
personal wishes
be deprecated
the wind
i come
my mind
of 1850
are no
these truths
enough food
suffrages of
to do
purposes of
which speedy
our sister
for assignment
am justified
mutual sympathy
their advancement
from struggles
cast workers
and delusive
not a
not i
necessary implements
enforce a
at its
administrative regulation
in world
our punitive
and miseries
full tide
i make
perhaps invidious
i hold
great possibilities
the flyleaf
than acquiesce
war invariably
sending their
sound morals
well intended
you permit
limits prescribed
200 years
seek redress
hunter's state
permit nothing
the governed
character remained
retire from
my weakness
extraordinary but
safe foundation
it brings
remarkably improved
had strengthened
their writings
common efforts
and ever-varying
upon idle
fashioning an
approximated the
sunset of
neighbors and
strive for
aggrandizement gave
even advisable
and matchless
infinite progress
consequent obligation
guaranties must
political contests
shall leave
transportation should
come due
without war--seeking
yet common
t make
we address
sincere desire
experiments where
profitable market
proposed scheme
population greater
sectional pride
no instant
own frontiers
less tormented
great problem
further agricultural
secured immortal
been afforded
its usefulness
this bounds
have sacrificed
have fastened
tried so
us have
rights the
established amidst
they emphatically
was an
necessity owes
calm counsel
maintain peace
and untrusting
be given
intermission for
continuity these
mere science
hostile aggression
jarring interests
whatever service
better elements
a true
fanaticism of
the destinies
their faculties
find among
been so
eligibility of
superior quality
whose expanded
only an
good government
entire inattention
waved its
dissensions among
swerved from
in deaths
species of
who cannot
wave ever
another change
paying capacity
political change
demonstrated superiority
current year
territory important
at no
restoration lies
been administered
but rarely
shape decades
fully enjoyed
by impoverishing
covenant called
called upon
balance placed
modern age
prove false
will approve
who find
subject was
seemed fitting
up native
its obligations
properly exercised
manifestly incompatible
local prejudices
with a
complications and
a given
are practical
diplomatic negotiation
increased virility
once appeared
have practiced
imperfectly suppressed
they varied
no barriers
sole legitimate
practical administration
great trust
social communities
humblest as
power vested
created these
that balance
on sugar
national life
confine itself
teaches that
carry into
feeling save
and applauded
provision was
single campaign
grant a
unlimited civilization
edicts will
too elevated
a passion
violates the
legislation looking
arising out
have strained
have risen
other in
fully understood
despite this
other it
awful presentiments
other is
most frightful
resulting choice
choose our
speaks anew
prolonged diplomacy
better home
urge a
sound sense
ardent heat
national credit
my constitutional
it one
slightest race
wisest thing
bonds fifty
public works
useless establishments
be broken
toward realizing
cannot become
caution and
commerce has
by shirking
progress without
man and
steps over
single day's
commerce had
bigger than
ideologies that
seen during
balanced by
arrangement should
harmoniously the
uneducated negroes
faithfully executed
dictates of
general mass
most distinguished
commencing its
the autonomy
enlightened statesmanship
domain should
controlling power
of morbid
much remains
consolation derived
inspection and
seasonable facility
varnish crime
very heedless
own judges
true interests
or power
bequeathed to
human efforts
causes exist
are unquestionably
wisely invested
infant state
commercial nation
is true
on a
ago when
pride whenever
to comply
upon conflicting
respected and
political opinion
happy improvement
lower rate
their part
cultivate relations
soul everywhere
interfered with
when finished
upper part
just accomplished
despite our
and compromise
international complications
approach these
multitude of
would i
but compelling
averted by
without unnecessary
have heretofore
decide disputed
presumptuous assurance
cemented and
majority should
mandates from
servile class
corresponding benefits
exercised by
would produce
time at
indispensable one
free trade
has existed--does
infancy of
an ungrudging
assurance that
provincials no
corruption and
to annul
political faith
look upon
speedily developed
so near
long engaged
this century
fact surely
suspension of
gave direction
great crises
predecessors nearly
public extravagance
his career
decided for
equipments with
a whole
economic basis
potent instrumentality
uphold them
burdened shoulders
ones fell
actions resulting
cherish ideals
cherish peace
deadly atom
without trial
other sense
whose patriotism
protect each
might perhaps
rivers which
collective self-help
modern world
heretofore followed
legions which
having expressed
takes possession
conserving the
restore harmony
all its
equivalent strength
